TimeStep,AvgCohesion,AvgAlignment,AvgSeparation,AvgAvoidance,AvgFoodAttraction,AvgAvoidanceDistance
0,0.09972974588479434,0.10092853783977,0.10033482299451899,0.09967866207884848,0.09868300390436902,0.10084087395030727
1,0.09958674767941722,0.10079512488074785,0.10018436287359847,0.09966816427381156,0.09880233798513341,0.10066404199640248
2,0.09961418712078092,0.10119871808814877,0.09896585522127181,0.10025011809251122,0.09838931896738898,0.10040230694014937
3,0.0986758543311168,0.10149720817511207,0.0988820540485395,0.10057904935753824,0.09839757083366975,0.10059593301166639
4,0.09858740245654364,0.10138127559505558,0.09885628526263547,0.10011966239567244,0.09850092736389811,0.10050855018484807
5,0.09828719797446316,0.10203185902757693,0.09825680797429183,0.10037095968783052,0.09846622456916873,0.09989580612951847
6,0.09747628366397408,0.10253287377753553,0.09789235792828585,0.10058390782338206,0.09832992942536184,0.10015014814139266
7,0.09760886137174972,0.10273879217729963,0.0976335818700342,0.10126777562505676,0.09840131657951809,0.10034359949599608
8,0.09768211594260116,0.10311584873342824,0.09749137564679866,0.10142537846240926,0.0981230714333941,0.10041498635598259
9,0.09785790133735854,0.10251225115441076,0.09801318068502676,0.10170801029646599,0.09842002027022141,0.10124616644195425
10,0.09762981575409524,0.1024421425879169,0.09797166570248884,0.10117915168554698,0.09839298478339607,0.10112725140888212
11,0.09673812942678826,0.10237854511816835,0.09810544474463094,0.10117808408449873,0.09807645132041189,0.10038149713413702
12,0.09743061892701965,0.10196431315313469,0.09795416710883088,0.10053720205607548,0.09810821109796035,0.10104788702282225
13,0.0973788424476008,0.10292646119340988,0.09865368655961389,0.10088371787102375,0.0976820433385993,0.10063205960737724
14,0.09697164634443106,0.10261416160174026,0.0988360481992774,0.10159200808729782,0.09757229459020415,0.10068178186270034
15,0.09803615725391557,0.10244233479628895,0.09878398224688482,0.10107852415406914,0.0981592484061475,0.10123612147544353
16,0.0977584359627012,0.10221874346903473,0.09820075529967766,0.10104492424003156,0.09826390257415274,0.10131860242730467
17,0.09727013512706138,0.10277962098507995,0.09795955905239086,0.10151391816888365,0.09735512026882691,0.10046289441966134
18,0.09838741517999963,0.10294512136957244,0.09774565778272586,0.10076068464779891,0.097295797895775,0.1008763669764981
19,0.0990261303511663,0.10310828356557433,0.09796081683336012,0.09915849824731549,0.09840872545100984,0.10098703926546589
20,0.09904848475950925,0.10300101862354334,0.09797310081981242,0.09893609791780097,0.09820804782213892,0.1010353222045287
21,0.10026577438398605,0.10375276396202304,0.09829098614475712,0.09816849165010787,0.09820725389990367,0.10124310615485962
22,0.10033394268515275,0.10464689266188248,0.09858881094209593,0.09765113819430207,0.09882455596058601,0.10211270724052661
23,0.10054740571585978,0.10539011382697026,0.0993527033747548,0.0972617352123287,0.09882195462181435,0.10170483671548838
24,0.10105453048743729,0.10482805765478641,0.09929403896301633,0.0973136060720605,0.09858553472442592,0.10243900265203089
25,0.10103379430703907,0.10478452544145009,0.09928121613318946,0.09694753433141942,0.0982050103744562,0.10279601760355853
26,0.1005994454806253,0.10475036971615652,0.0992907643480956,0.09656881192682494,0.09826394130423369,0.10223343213913073
27,0.10056583248808905,0.10533178102132502,0.09968138339467661,0.09589753929385236,0.0979142481067154,0.10197067905686216
28,0.10150133762706084,0.10516254824676656,0.09957767645085927,0.09506554455127131,0.09829525946151116,0.1024611966655184
29,0.1034052407091603,0.1051742226306446,0.09978703489585224,0.09536379686444112,0.09837909764434888,0.10238295233128522
30,0.10369016608224463,0.10567074089700466,0.10002375814512282,0.09520689828514804,0.09865173387105028,0.10237876563145512
31,0.10403981471278073,0.10548849208728148,0.1001376595755744,0.09492963143492744,0.09855597910512875,0.10294461705821364
32,0.10423882780151672,0.10484451763690937,0.1000923025445542,0.09489881166787043,0.09823510720905179,0.10283156978458814
33,0.10381036705965316,0.10469098550526064,0.09999201136792969,0.09503845596185251,0.09835104399431983,0.10258272450314675
34,0.10450370830645077,0.10406159948368116,0.0994730057092148,0.09404809574127682,0.09847479869008503,0.1038325098272451
35,0.10588221005820339,0.10385097443884436,0.09927422001048823,0.09327286340686355,0.10036876876811063,0.10423845445031331
36,0.10570955572888067,0.10457996217667968,0.09959428284731264,0.09351297500536904,0.09939719612779743,0.1036998855709162
37,0.10651109610673937,0.10451483780390211,0.10027534862149008,0.09416202669427186,0.09870255745189749,0.10371641158901683
38,0.10613747831112962,0.10528974405144446,0.1007376093655257,0.09428203538008112,0.09882218842148009,0.10344999417628001
39,0.10658801793184423,0.10505453599597969,0.09965564786853237,0.09380912959441554,0.09851523234164895,0.10329134080217318
40,0.10672689017185046,0.1052182341313466,0.10008743680997348,0.09442344322066491,0.09807548003622106,0.10364157222365002
41,0.1067023438752926,0.10544971805576729,0.10025240194362448,0.09437448938327819,0.09806876147227493,0.10358330454030483
42,0.10670597439847189,0.10521087134847185,0.10024930303989976,0.09443744569561278,0.09829827926556468,0.10361095865893423
43,0.10632918935065541,0.10452901423093136,0.10000462605962035,0.09446342624982101,0.09810339587460633,0.10395553809577532
