TimeStep;AvgCohesion;AvgAlignment;AvgSeparation;AvgAvoidance;AvgFoodAttraction;AvgAvoidanceDistance
0;0,09928687449647615;0,09917032796270579;0,09999529806067946;0,09894181340864566;0,0991304048220377;0,09863805150764851
1;0,0991047390668765;0,09943070338648917;0,09968754866708565;0,09864272006887317;0,0992802154101387;0,09850187993774526
2;0,09956208176023632;0,09902359055203835;0,09938092976215637;0,09859480517180733;0,09835264968723649;0,09847863828701128
3;0,099382112040643;0,09947883577618184;0,09944646628271882;0,09859492327046354;0,09867023480755177;0,09849861384231219
4;0,09936662878253788;0,09916191400029485;0,09882532610142435;0,09918794082003744;0,09853123737429102;0,09811110643837676
5;0,09929018173651298;0,09918228101052844;0,09903372935942095;0,09908696624676172;0,09891387467277113;0,09809169287311612
6;0,09888925783154869;0,0993283406821724;0,09904261087986842;0,0990472324452454;0,09871131562070344;0,09818569257164451
7;0,09831174216022465;0,09955320422997176;0,09926231633135733;0,09912915195018134;0,0989152990040391;0,098140343179705
8;0,09860059653420061;0,09917498940518231;0,09917786250053007;0,09895836701038435;0,09908267902730004;0,0984563190136559
9;0,09837790604551291;0,0994214025711181;0,09899897066166598;0,0986977196633661;0,09918110867558845;0,09857058800836863
10;0,09823577203751897;0,09922171553384436;0,09899116383630566;0,09879958055099371;0,09916580828927779;0,09882515790944879
11;0,0987570860327054;0,09879090936096109;0,09902821402625325;0,09887881479723752;0,09951112236417368;0,0987407726301911
12;0,0989672006093697;0,0988942060406063;0,09883019586341271;0,09879526607634284;0,09986915274172148;0,0990378533266071
13;0,09917901724478888;0,09898796454131174;0,0990406924027195;0,09865308553097658;0,09964233535991536;0,09940374744015207
14;0,09910178324748238;0,09898216842299169;0,09904825224093745;0,098494886772175;0,09918689493287777;0,09895980066724051
15;0,09903564390952169;0,09915999156069662;0,0991034144848315;0,09862498967256557;0,09914727356191129;0,09880868815742287
16;0,09903564390952169;0,09915999156069662;0,0991034144848315;0,09862498967256557;0,09914727356191129;0,09880868815742287
17;0,09903564390952169;0,09915999156069662;0,0991034144848315;0,09862498967256557;0,09914727356191129;0,09880868815742287
18;0,09903564390952169;0,09915999156069662;0,0991034144848315;0,09862498967256557;0,09914727356191129;0,09880868815742287
19;0,09903322839114026;0,09900852950964599;0,0996375926538144;0,09874284630777636;0,09924413202282238;0,09890597317974771
20;0,09915721906354584;0,0990404559536894;0,09941645004470635;0,09869256111442466;0,0990588769534218;0,09914634669968073
21;0,0993343928107367;0,09899345080275969;0,09966795737067226;0,098682303248616;0,09905600968057059;0,09931018943415261
22;0,0992969731781157;0,09961743342732393;0,09952152036608523;0,09930081900351788;0,09928483765534034;0,09889236896424239
23;0,0992969731781157;0,09961743342732393;0,09952152036608523;0,09930081900351788;0,09928483765534034;0,09889236896424239
24;0,09909701616936965;0,09967850530709757;0,10011742340427847;0,09945143154357826;0,0994599290986442;0,09916716712453169
25;0,09905514746641343;0,09941613310251171;0,09983927560297928;0,09947384198363406;0,09946088939270609;0,09952851970671917
26;0,09897185921049759;0,09924255161853292;0,1001190663943774;0,09964427803564414;0,09939134452099144;0,09969156638658523
27;0,09897185921049759;0,09924255161853292;0,1001190663943774;0,09964427803564414;0,09939134452099144;0,09969156638658523
28;0,0985168539646053;0,09922068150454404;0,10007337675783054;0,09975682601636694;0,09959425323208683;0,09974059823859326
29;0,09808744350011785;0,09977493752264778;0,0995935371284066;0,09975049109855076;0,09943759293934759;0,09949289514021209
30;0,0977017584207579;0,10012635196532299;0,09958116376973221;0,09954564311827206;0,09940194323035242;0,0991953659731039
31;0,0980621916335607;0,10027631396116693;0,09955776874841957;0,09967915384689777;0,09965290134287424;0,09910904682191564
32;0,09825865746153557;0,10037222322907842;0,09941981292849679;0,09961335308139962;0,09976968729380016;0,09905011519125032
33;0,09844562664430459;0,1003783845226765;0,09939081902993069;0,0999674674777695;0,09984457395743207;0,09907078280046958
34;0,0980752432953852;0,1003676720466892;0,0999504914697507;0,1002221368068747;0,09981738782646289;0,09880174706767912
35;0,09850900632520973;0,10044532815700156;0,09943723256570657;0,10050864669985561;0,09955945005666647;0,09908860786868603
36;0,09845591644220651;0,1004148487202815;0,09976598764406872;0,10058963033518939;0,09961943177008963;0,0993295229681978
37;0,09869414640551294;0,10006726843228594;0,09987483680286993;0,10065924804972819;0,09999770936413858;0,09975567122342927
38;0,09874250028419246;0,09994012408586903;0,10013944890378244;0,10068846198723083;0,09976962749712381;0,09969578750939485
39;0,09932729466950545;0,100231221432943;0,09987655833242098;0,10105809848449769;0,10002315371110117;0,09961645071086805
40;0,09948542310997953;0,10043075577140605;0,10025593140925208;0,10104956222194689;0,10021951084065121;0,09947034701673234
41;0,09928436916446982;0,10023503642578696;0,10046251020595687;0,10089466894725674;0,10050824301348571;0,09972122054080605
42;0,09920015338010173;0,10012851835997352;0,10022476187006647;0,10140446169192799;0,1010834435443497;0,09964323604715263
43;0,09935515125842954;0,10010451329736177;0,10024201537013729;0,10155333364964263;0,10109073944226447;0,10000356792195508
44;0,09937013993974357;0,10018151226947195;0,10011837366625233;0,10194119025448758;0,10133409353258742;0,09952787697887887
45;0,09955348930733135;0,10013061114694319;0,0998687738205725;0,10225419995585579;0,10150747698832442;0,09975561436936661
46;0,10075122110735582;0,09953281726222651;0,0998431002281724;0,10225832680155673;0,1015682970105326;0,09999032803688639
47;0,1010518214446226;0,09881544857059497;0,09919389361146064;0,10181384355563979;0,10158605284902504;0,09995635292533522
